trade_date,next_trade_date,code,name,pool_type,board,pct_chg,close,limit_price,amount,turnover,first_seal_time,last_seal_time,break_count,close_vs_limit,industry,industry_board_rank,industry_limitup_count_today,market_index_trend,emotion_stage,prev_industry_open_good_rate,prev_industry_close_good_rate,prev_industry_sample_count,action_score,risk_score,board_action_quality,broken_board_quality,next_day_premium_risk,realized_label,next_open,next_high,next_close,open_premium,high_premium,close_return,net_open_return,low_open,rushed_high,continued_limit_up,lhb_listed,lhb_net_buy,institution_net,tracked_seats,buy_concentration,sell_concentration,stock_personality_tag,hist_limitup_count_3y,hist_failed_seal_count_3y,hist_failed_seal_rate_3y,hist_n,hist_open_win_rate,hist_no_premium_rate,hist_avg_open,hist_median_open,hist_avg_high,hist_avg_close,strong_is_new_high,strong_volume_ratio,tech_ma5_dev,tech_ma10_dev,tech_gain5,decision_reason,data_gaps,data_lineage
2026-08-31,2026-09-01,000011,深物业A,涨停,2,10.054644584655762,10.07,,115646357.0,2.181344747543335,09:25:00,09:25:00,0,,房地产开,1,11,指数上涨,情绪混沌,,,0,11,-2,可以打板,,低/可控,待验证/行情缺失,,,,,,,,,,,True,44769751.0,-16870715.0,,0.349993377520715,0.16935340184498346,样本不足,2,1,0.5,2,1.0,0.0,0.03383462888868116,0.03383462888868116,0.10017555285446689,0.04327482646221509,是,1.5694555044174194,15.03,19.43,26.35,收盘封住涨停；大环境：情绪混沌，需确认回暖还是回落；指数环境：指数上涨；首次封板在10:30前，只作为前排证据之一；2板承接优于普通首板；未炸板；所属行业在今日涨停/炸板热度前排：房地产开；板块内封板排序第1，属于日内前排；图形新高或强势池新高；今日涨停家数尚可；盘后龙虎榜净买入0.45亿，可改善次日风险；机构净卖出0.17亿,前一交易日本行业涨停样本缺失；同股历史涨停溢价样本不足；T+1行情缺失或未收盘：2026-09-01,AKShare/Eastmoney pools + local technical screener + local historical premium detail + Eastmoney LHB
2026-08-31,2026-09-01,000560,我爱我家,涨停,2,9.848484992980957,2.9,,185611600.0,2.7320752143859863,09:25:00,09:25:00,0,,房地产服,1,4,指数上涨,情绪混沌,,,0,10,-3,可以打板,,低/可控,待验证/行情缺失,,,,,,,,,,,True,17707947.91,1611969.1300000008,,0.24870164918509674,0.22087533709818277,样本不足,,,,,,,,,,,是,0.2889365255832672,13.9,20.83,33.64,收盘封住涨停；大环境：情绪混沌，需确认回暖还是回落；指数环境：指数上涨；首次封板在10:30前，只作为前排证据之一；2板承接优于普通首板；未炸板；题材/行业热度一般：房地产服；板块内封板排序第1，属于日内前排；图形新高或强势池新高；今日涨停家数尚可；盘后龙虎榜净买入0.18亿，可改善次日风险；机构净买入0.02亿,前一交易日本行业涨停样本缺失；同股历史涨停溢价样本不足；T+1行情缺失或未收盘：2026-09-01,AKShare/Eastmoney pools + local technical screener + local historical premium detail + Eastmoney LHB
2026-08-31,2026-09-01,000965,天保基建,涨停,1,10.030394554138184,3.62,,480043392.0,12.123248100280762,09:25:00,14:50:27,4,,房地产开,2,11,指数上涨,情绪混沌,,,0,7,1,谨慎可打,,低/可控,待验证/行情缺失,,,,,,,,,,,False,,,,,,样本不足,,,,,,,,,,,是,8.709488868713379,9.17,11.87,16.03,收盘封住涨停；大环境：情绪混沌，需确认回暖还是回落；指数环境：指数上涨；首次封板在10:30前，只作为前排证据之一；首板/低板位溢价弹性需依赖题材和封板质量；炸板次数4次，封板稳定性一般；换手处于可承接区间；所属行业在今日涨停/炸板热度前排：房地产开；板块内封板排序第2，属于日内前排；图形新高或强势池新高；今日涨停家数尚可,前一交易日本行业涨停样本缺失；同股历史涨停溢价样本不足；龙虎榜未上榜或未匹配；仅可作为盘后缺失项；T+1行情缺失或未收盘：2026-09-01,AKShare/Eastmoney pools + local technical screener + local historical premium detail + Eastmoney LHB
2026-08-31,2026-09-01,002084,海鸥住工,涨停,6,10.0,6.38,,39838028.0,0.9686427712440491,09:25:00,09:25:00,0,,家居用品,1,6,指数上涨,情绪混沌,,,0,10,0,可以打板,,低/可控,待验证/行情缺失,,,,,,,,,,,False,,,,,,样本不足,,,,,,,,,,,是,1.3730839490890503,19.97,43.89,61.52,收盘封住涨停；大环境：情绪混沌，需确认回暖还是回落；指数环境：指数上涨；首次封板在10:30前，只作为前排证据之一；3板以上有辨识度；未炸板；换手过低，成交验证不足；成交额过低，容量和滑点风险高；所属行业在今日涨停/炸板热度前排：家居用品；板块内封板排序第1，属于日内前排；图形新高或强势池新高；5日涨幅过高，次日兑现风险；今日涨停家数尚可,前一交易日本行业涨停样本缺失；同股历史涨停溢价样本不足；龙虎榜未上榜或未匹配；仅可作为盘后缺失项；T+1行情缺失或未收盘：2026-09-01,AKShare/Eastmoney pools + local technical screener + local historical premium detail + Eastmoney LHB
2026-08-31,2026-09-01,002133,广宇集团,涨停,1,9.929078102111816,3.1,,96606416.0,4.047872066497803,09:25:00,09:25:00,0,,房地产开,3,11,指数上涨,情绪混沌,,,0,9,0,可以打板,,低/可控,待验证/行情缺失,,,,,,,,,,,False,,,,,,样本不足,,,,,,,,,,,是,2.656763792037964,8.62,11.67,15.24,收盘封住涨停；大环境：情绪混沌，需确认回暖还是回落；指数环境：指数上涨；首次封板在10:30前，只作为前排证据之一；首板/低板位溢价弹性需依赖题材和封板质量；未炸板；换手处于可承接区间；成交额过低，容量和滑点风险高；所属行业在今日涨停/炸板热度前排：房地产开；板块内封板排序第3，属于日内前排；图形新高或强势池新高；今日涨停家数尚可,前一交易日本行业涨停样本缺失；同股历史涨停溢价样本不足；龙虎榜未上榜或未匹配；仅可作为盘后缺失项；T+1行情缺失或未收盘：2026-09-01,AKShare/Eastmoney pools + local technical screener + local historical premium detail + Eastmoney LHB
2026-08-31,2026-09-01,002679,福建金森,涨停,2,10.028116226196289,11.74,,59436861.0,2.1474597454071045,09:25:00,09:25:00,0,,林业Ⅱ,1,1,指数上涨,情绪混沌,,,0,9,2,可以打板,,中：需看集合竞价承接,待验证/行情缺失,,,,,,,,,,,True,-1275055.19,-59233361.19,,0.32372418908832085,0.3689249401897237,样本不足,,,,,,,,,,,是,0.8621264100074768,14.36,20.46,26.92,收盘封住涨停；大环境：情绪混沌，需确认回暖还是回落；指数环境：指数上涨；首次封板在10:30前，只作为前排证据之一；2板承接优于普通首板；未炸板；成交额过低，容量和滑点风险高；题材/行业热度一般：林业Ⅱ；板块内封板排序第1，属于日内前排；图形新高或强势池新高；今日涨停家数尚可；盘后龙虎榜净卖出0.01亿，次日风险上升；机构净卖出0.59亿,前一交易日本行业涨停样本缺失；同股历史涨停溢价样本不足；T+1行情缺失或未收盘：2026-09-01,AKShare/Eastmoney pools + local technical screener + local historical premium detail + Eastmoney LHB
2026-08-31,2026-09-01,600371,万向德农,涨停,5,9.965337753295898,12.69,,174057944.0,4.6880316734313965,09:25:00,09:25:00,0,,种植业,1,3,指数上涨,情绪混沌,,,0,12,-2,可以打板,,低/可控,待验证/行情缺失,,,,,,,,,,,True,63601240.0,0.0,,0.4794836316796589,0.2037999685969487,样本不足,,,,,,,,,,,是,0.4466845691204071,19.88,34.66,61.04,收盘封住涨停；大环境：情绪混沌，需确认回暖还是回落；指数环境：指数上涨；首次封板在10:30前，只作为前排证据之一；3板以上有辨识度；未炸板；换手处于可承接区间；题材/行业热度一般：种植业；板块内封板排序第1，属于日内前排；图形新高或强势池新高；5日涨幅过高，次日兑现风险；今日涨停家数尚可；盘后龙虎榜净买入0.64亿，可改善次日风险,前一交易日本行业涨停样本缺失；同股历史涨停溢价样本不足；T+1行情缺失或未收盘：2026-09-01,AKShare/Eastmoney pools + local technical screener + local historical premium detail + Eastmoney LHB
2026-08-31,2026-09-01,601086,国芳集团,涨停,2,9.952038764953613,9.17,,232455626.0,3.8064563274383545,09:25:02,10:52:05,1,,一般零售,1,2,指数上涨,情绪混沌,,,0,9,-1,可以打板,,低/可控,待验证/行情缺失,,,,,,,,,,,True,24953442.12,0.0,,0.2018498104702749,0.13610600058701255,样本不足,1,1,1.0,1,0.0,1.0,-0.02069857697283317,-0.02069857697283317,0.08667529107373872,0.03622250970245777,是,2.7185373306274414,14.08,17.01,23.25,收盘封住涨停；大环境：情绪混沌，需确认回暖还是回落；指数环境：指数上涨；首次封板在10:30前，只作为前排证据之一；2板承接优于普通首板；炸板次数1次，可接受但需看承接；换手处于可承接区间；题材/行业热度一般：一般零售；板块内封板排序第1，属于日内前排；图形新高或强势池新高；今日涨停家数尚可；盘后龙虎榜净买入0.25亿，可改善次日风险,前一交易日本行业涨停样本缺失；同股历史涨停溢价样本不足；T+1行情缺失或未收盘：2026-09-01,AKShare/Eastmoney pools + local technical screener + local historical premium detail + Eastmoney LHB
2026-08-31,2026-09-01,600540,新赛股份,涨停,3,10.099010467529297,5.56,,39566761.0,1.2240464687347412,09:25:04,09:25:04,0,,种植业,2,3,指数上涨,情绪混沌,,,0,10,-1,可以打板,,低/可控,待验证/行情缺失,,,,,,,,,,,True,28722537.44,0.0,,0.9177243858803604,0.19179846437265866,样本不足,1,1,1.0,1,1.0,0.0,0.04699738903394257,0.04699738903394257,0.04699738903394257,0.005221932114882533,是,0.2809427082538605,18.4,26.88,37.28,收盘封住涨停；大环境：情绪混沌，需确认回暖还是回落；指数环境：指数上涨；首次封板在10:30前，只作为前排证据之一；3板以上有辨识度；未炸板；成交额过低，容量和滑点风险高；题材/行业热度一般：种植业；板块内封板排序第2，属于日内前排；图形新高或强势池新高；5日涨幅过高，次日兑现风险；今日涨停家数尚可；盘后龙虎榜净买入0.29亿，可改善次日风险,前一交易日本行业涨停样本缺失；同股历史涨停溢价样本不足；T+1行情缺失或未收盘：2026-09-01,AKShare/Eastmoney pools + local technical screener + local historical premium detail + Eastmoney LHB
2026-08-31,2026-09-01,002375,亚厦股份,涨停,1,10.0,4.07,,120519238.0,2.2405099868774414,09:30:15,09:34:36,3,,装修装饰,1,5,指数上涨,情绪混沌,,,0,6,1,谨慎可打,,低/可控,待验证/行情缺失,,,,,,,,,,,False,,,,,,样本不足,,,,,,,,,,,是,2.653114080429077,8.01,10.27,13.69,收盘封住涨停；大环境：情绪混沌，需确认回暖还是回落；指数环境：指数上涨；首次封板在10:30前，只作为前排证据之一；首板/低板位溢价弹性需依赖题材和封板质量；炸板次数3次，封板稳定性一般；所属行业在今日涨停/炸板热度前排：装修装饰；板块内封板排序第1，属于日内前排；图形新高或强势池新高；今日涨停家数尚可,前一交易日本行业涨停样本缺失；同股历史涨停溢价样本不足；龙虎榜未上榜或未匹配；仅可作为盘后缺失项；T+1行情缺失或未收盘：2026-09-01,AKShare/Eastmoney pools + local technical screener + local historical premium detail + Eastmoney LHB
